"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 08 17:51:02 WIB 2025","Tue Apr 08 17:51:23 WIB 2025","21025","","Review Product Feature","","[Negative Case] The User Reduce a Product Review with Login","","[Negative Case] The User Reduce a Product Review with Login",""
"passed","Tue Apr 08 17:50:07 WIB 2025","Tue Apr 08 17:50:30 WIB 2025","22888","","Logout Feature","","[Negative Case] The User Cancel Logout","","[Negative Case] The User Cancel Logout",""
"passed","Tue Apr 08 17:46:14 WIB 2025","Tue Apr 08 17:46:39 WIB 2025","25135","","Buy Product","","[Positive Case] The User Success Added a Product when Logged in","","[Positive Case] The User Success Added a Product when Logged in",""
"passed","Tue Apr 08 17:50:35 WIB 2025","Tue Apr 08 17:50:57 WIB 2025","21571","","Review Product Feature","","[Positive Case] The User Add a Product Review with Login","","[Positive Case] The User Add a Product Review with Login",""
"passed","Tue Apr 08 17:51:28 WIB 2025","Tue Apr 08 17:51:45 WIB 2025","16647","","Review Product Feature","","[Negative Case] The User Add a Product Review without Login","","[Negative Case] The User Add a Product Review without Login",""
"skipped","Tue Apr 08 17:49:16 WIB 2025","Tue Apr 08 17:49:27 WIB 2025","10745","","Login Feature","","[Negative Case] The User Login without Input Password","","[Negative Case] The User Login without Input Password",""
"passed","Tue Apr 08 17:48:52 WIB 2025","Tue Apr 08 17:49:11 WIB 2025","18955","","Login Feature","","[Negative Case] The User Login without Input Username","","[Negative Case] The User Login without Input Username",""
"passed","Tue Apr 08 17:48:06 WIB 2025","Tue Apr 08 17:48:22 WIB 2025","16207","","Login Feature","","[Positive Case] The User Login with Valid Credentials","","[Positive Case] The User Login with Valid Credentials",""
"passed","Tue Apr 08 17:47:14 WIB 2025","Tue Apr 08 17:47:36 WIB 2025","21803","","Buy Product","","[Negative Case] The User Success Added a Product without Login","","[Negative Case] The User Success Added a Product without Login",""
"passed","Tue Apr 08 17:49:32 WIB 2025","Tue Apr 08 17:50:02 WIB 2025","30777","","Logout Feature","","[Positive Case] The User Success Logout","","[Positive Case] The User Success Logout",""
"passed","Tue Apr 08 17:48:27 WIB 2025","Tue Apr 08 17:48:47 WIB 2025","19797","","Login Feature","","[Negative Case] The User Login with Invalid Credentials","","[Negative Case] The User Login with Invalid Credentials",""
"broken","Tue Apr 08 17:47:41 WIB 2025","Tue Apr 08 17:48:01 WIB 2025","19479","","Buy Product","","[Negative Case] The User Remove Item on Cart","","[Negative Case] The User Remove Item on Cart",""
"passed","Tue Apr 08 17:46:44 WIB 2025","Tue Apr 08 17:47:09 WIB 2025","24944","","Buy Product","","[Positive Case] The User Success Added More Then One Product when Logged in","","[Positive Case] The User Success Added More Then One Product when Logged in",""
